_id,year_month,service_name,program_or_facility,neighborhood,address,latitude,longitude,organization,category,recommended_for,requirements,phone,narrative,schedule,holiday_exception
3213,201905,Sunday Lunch - Mission From Mars,Mission from Mars - Free Sunday Lunch,North Side,"50 Montgomery Place, PA, 15212",40.455455,-80.005817,Mission from Mars,meals,all,None,724-612-1133,"Free Sunday Lunch every week, rain or shine,  served on tables in Allegheny Commons Park (across from Light of Life Mission, but not affiliated with them).",Sun: 11:30am - 1:00pm,
3214,201905,Emergency Pantry,Greater Pittsburgh Community Food Bank,Duquesne,"1 North Linden Street, PA, 15110",40.375323,-79.841787,Greater Pittsburgh Community Food Bank,pantries-supplies,Emergency - but a person has to get to the food bank location,None,412-460-3663,"For emergencies.  The Greater Pittsburgh Community Food Bank supplies food pantries in the region, but maintain some food for emergency pickup at their location.","Normal business hours, Mon - Fri, 8am - 4:30 pm",
3215,201905,Produce to People - Duquesne,Greater Pittsburgh Community Food Bank,Duquesne,"1 North Linden Street, PA, 15110",40.375323,-79.841787,Greater Pittsburgh Community Food Bank,pantries-supplies,All in need,"fill out a form (attesting to meeting guidelines), no additional papers needed",,"1 North Linden Street, left of main entrance of Greater Pittsburgh Community Food Bank; 30 - 50 pounds of food to each family, 3 out of 4 items are fresh (in season).  Bring your own bags.  You may go to as many Produce to People distributions as you like and still attend your regular pantry.",Second Thursday of each month; 5:30 - 7pm,
3216,201905,Produce to People - Natrona Heights,Produce to People - Natrona Heights,Natrona Heights,"1526 Union Avenue, PA, 15065",40.620916,-79.727317,Greater Pittsburgh Community Food Bank,meals-foodpantries,all,"fill out a form (attesting to meeting guidelines), no additional papers needed",724-226-0606 X 18,"30 - 50 pounds of food to each family, 3 out of 4 items are fresh (in season).  Bring your own bags.  You may go to as many Produce to People distributions as you like and still attend your regular pantry.","Tuesday 5/14,  5:30-7pm ; Tuesday 6/11, 5:30-7pm",
3217,201905,Produce to People - Tarentum,Produce to People - Tarentum,Tarentum,"210 East 4th Avenue, PA, 15084",40.600638,-79.754364,Greater Pittsburgh Community Food Bank,meals-foodpantries,All,"fill out a form (attesting to meeting guidelines), no additional papers needed",724-226-0606 X 18,"30 - 50 pounds of food to each family, 3 out of 4 items are fresh (in season).  Bring your own bags.  You may go to as many Produce to People distributions as you like and still attend your regular pantry.",Tues 4/10 5:30 - 7pm,
3218,201905,Produce to People - Sheraden,Produce to People - Sheraden,Sheraden,"2940 Sheraden Boulevard, PA, 15204",40.454647,-80.054092,Greater Pittsburgh Community Food Bank,pantries-supplies,all in need,"fill out a form (attesting to meeting guidelines), no additional papers needed",412-460-3663 x727,"30 - 50 pounds of food to each family, 3 out of 4 items are fresh (in season).  Bring your own bags.  You may go to as many Produce to People distributions as you like and still attend your regular pantry.",1st Thursday of every month: 5:30pm - 7:00 pm,
3219,201905,Produce to People - Braddock,Produce to People - Braddock,Braddock,"845 Talbot Avenue, PA, 15104",40.399199,-79.86653,Greater Pittsburgh Community Food Bank,pantries-supplies,all in need,"fill out a form (attesting to meeting guidelines), no additional papers needed",412-460-3663 x727,"30 - 50 pounds of food to each family, 3 out of 4 items are fresh (in season).  Bring your own bags.  You may go to as many Produce to People distributions as you like and still attend your regular pantry.",10:00 am - noon ; First Saturday of every month,
3220,201905,Produce to People - McKeesport,Produce to People - McKeesport,McKeesport,"1960 Eden Park Blvd., PA, 15132",40.346297,-79.832591,Greater Pittsburgh Community Food Bank,pantries-supplies,all in need,"fill out a form (attesting to meeting guidelines), no additional papers needed",412-460-3663 X 727,"30 - 50 pounds of food to each family, 3 out of 4 items are fresh (in season).  Bring your own bags.  You may go to as many Produce to People distributions as you like and still attend your regular pantry.",3rd Saturday of every month: 10:00am - noon,
3221,201905,IOTAS (It's OK to Ask Someone) Texting Line,IOTAS (It's OK to Ask Someone) - Text 412-424-6827 - Planned Parenthood,Downtown,"933 Liberty Avenue, PA, 15222",40.443318,-79.996729,Planned Parenthood of Western PA,health,"Young people with questions about sexuality, STDs, reproductive health, pregnancy, relationships",TEXT ONLY to 412-424-6827 - responds within 24 hours,,"Planned Parenthood text service for young people with questions about sexuality, STDs, pregnancy, relationships. Text questions to 412-424-6827, response will come within 24 hours.",,
3222,201905,Planned Parenthood - Family Planning Services,Pittsburgh Family Planning Center (PPWP),Downtown,"933 Liberty Avenue, PA, 15222",40.443375,-79.996643,Planned Parenthood of Western PA,health,All,MUST CALL FOR APPOINTMENT. All services are free for anyone under 18. No-cost and low-cost options available for those over 18 (nobody is turned away).,412-434-8971,"Offers a wide range of reproductive/sexual health services including gynecological care, birth control, pregnancy testing, options counseling, colposcopy and cryotherapy, pelvic and breast exams, and treatment for STI's. Can be connected to abortion services (412-562-1900 for direct line).  Pittsburgh, Moon and Bridgeville locations.",Hours to call (hours vary slightly for abortion services):; ; Tues - Wed: 8:45am - 3:30pm; Thur: 11:30am - 6:30pm (Family Planning Services only); Fri: 9:30am - 3:30pm; Sat: 8:45am - 3:30pm,
3223,201905,Pitt Pantry (must have University of Pittsburgh ID),Pitt Pantry,Oakland,"4001 Fifth Avenue, PA, 15213",40.445593,-79.95318409999999,University of Ptitsburgh,pantries-supplies,ONLY for active Pitt Students and Staff with current ID,"Must have current University of Pittsburgh ID,  self-certify for low income, twice/month maximum",,"Small food pantry with box and canned goods, non-dairy beverages, some personal care products.",Wed: 5pm - 8pm; Thu: 1pm - 4pm; Fri: by appt.,
3224,201905,Tuesday Dinner - Outreached Arms,Tuesday dinners - Outreached Arms,Downtown,"320 Sixth Avenue, PA, 15222",40.441248,-79.999257,Outreached Arms,meals,All,None,412-471-3436,"Inside church, enter on Oliver Avenue",Tuesdays ; 7:00pm - 8:00pm,
3225,201905,"Allies for Health + Wellbeing (Pgh AIDS Task Force) - STD/Hepatitis C/HIV/AIDS testing, PrEP Evaluation",Allies for Health & Well Being (Pgh Aids Task Force)- HIV/STI/Hepatitis C Testing/PrEP Evaluation - Pittsburgh Aids Task Force,East Liberty,"5913 Penn Avenue, PA, 15206",40.46198,-79.926207,Allies for Health & Well Being (new name for Pittsburgh Aids Task Force (PATF),health,All,Free and confidential testing 6 days/week.  All insurance accepted and no person turned away.,412-345-7456,"HIV-negative people may enroll in our PrEP for Wellness program to receive the once-daily pill that reduces the chance for HIV infection by over 90 percent. Allies provides an array of services for HIV-positive individuals including food pantry; HUD supportive housing; pharmacy program; and legal, emergency fund and transportation assistance.","Walk-in Testing Hours:; Mon, Tues, Thurs, Fri:  9am - 4:30pm; Wed: 9am - 6:30pm; Sun: 12pm - 3:30pm; ; Other clinic exams by appointment.",
3226,201905,Magee Recreation Center,Magee Recreation Center,Greenfield,"745 Greenfield Avenue, PA, 15217",40.42418,-79.93678,CitiParks Community Recreation Centers,roof-daytime,All,"City of Pittsburgh resident, but won't turn anyone away.",412-422-6546,"City recreation center that is also a warming/cooling center.  Recreation room with ping-pong and tables for socializing, plus a basketball court.",Mon - Fri: noon - 8pm; Sat: 9am - 3pm,
3227,201905,West Penn Recreation Center,West Penn Recreation Center,Polish Hill,"450 30th Street, PA, 15219",40.455775,-79.969316,CitiParks Community Recreation Centers,roof-daytime,All,Will be asked for an address in the City of Pittsburgh,412-622-7353,"City recreation center that is also a warming center.   Free wifi, game room with tables and some games, year-round outdoor skate park (helmet required), swimming pool for City residents in the summer for $4 fee.  Fitness/boxing programs extra.",Mon - Fri: 9am - 9pm; Sat: 9am - 3pm,
3228,201905,Warrington Recreation Center,Warrington Recreation Center,Beltzhoover,"329 Warrington Avenue, PA, 15210",40.421043,-80.000815,CitiParks Community Recreation Centers,roof-daytime,all,Will be asked to provide an address in the City of Pittsburgh,412-488-8369,"City recreation center that is also a warming center.   Free Wifi, game room with pool tables, foosball, some games.  Outdoor playground, spray park in Memorial Day through Labor Day, large baseball/soccer field.  Weight Room with weights and machines available for $5/month - all other services are free",Mon - Fri: noon - 8:00pm; Follows City holiday schedule,
3229,201905,Arlington Recreation Center,Arlington Recreation Center,Arlington,"2201 Salisbury Street, PA, 15210",40.419122,-79.975572,CitiParks Community Recreation Centers,roof-daytime,All,Will be asked to provide an address in the City of Pittsburgh,412-488-8397,"City recreation center that is also a warming center.   Free wifi, game room with pool tables, foosball, other games.",Mon - Fri: 10am - 6pm ; Follows City holiday schedule.,
3230,201905,South Side Market House Community Center,South Side Community Center,South Side,"12th & Bingham Streets, PA, 15203",40.429186,-79.986428,CitiParks Community Recreation Centers,roof-daytime,All,Will be asked to provide an address in the City of Pittsburgh,412-488-8404,"City recreation center that is also a warming/cooling center. Game room with pool tables, foosball, other games.  Upstairs large gymnasium with basketball court.  Side room has small library with computers, audio books, and WiFi.  Exercise room with weights free for ages 60+.  Hot lunch served to registered seniors ages 60+.",Mon - Fri; 8:00am - 4:00pm,
3231,201905,Ammon Recreation Center,Ammon Recreation Center,Hill District,"2217 Bedford Avenue, PA, 15219",40.44853,-79.977743,CitiParks Community Recreation Centers,roof-daytime,all,Will be asked for an address in the City of Pittsburgh,412-255-2501,"Daytime shelter with basketball, board games, Free Wifi. Fitness center costs $5/month.   In summer, pool is open and cost is $4/day or passes available.  Closed during City of Pittsburgh holiday schedule.",Mon - Fri: 12pm - 8pm,
3232,201905,Squirrel Hill Food Pantry,Squirrel Hill Food Pantry,Squirrel Hill,"828 Hazelwood Avenue, PA, 15217",40.419608,-79.928181,Squirrel Hill Food Pantry,pantries-supplies,"All in need, Once/year, Kosher and Gluten Free food options","For residents of 15217 ZIP Code, but will give to ANYONE who needs Kosher food.",412-421-2708,"Emergency Food Pantry with Kosher (no ZIP code requirement) and gluten free options available. Frequently has fresh produce, hygiene products, and pet food.  Have 2 critical need social workers on staff","Mon: 9am - 12:30 pm, 5pm - 7pm; Tue: 9am - 12:30pm, 1:30pm - 3pm; Wed: 9am - 12:30pm ; Thu: 9am - 12:30pm, 1:30pm - 3pm; Fri: 9am - 12:30pm; Sunday by appointment",
3233,201905,Swissvale Food Pantry,Swissvale Food Pantry,Swissvale,"2011 Noble Street, PA, 15218",40.421586,-79.886278,Swissvale Food Pantry,pantries-supplies,"All in zip codes surrounding Swissvale:  15218, 15104, 15120, 15221","Photo ID for emergency food, rental agreement or utility bill for regular pantry.",412-452-2792,"Enter front doors.  Space is shared with a church, but pantry is separate.","First and 3rd Thursday of each month from 9:30 am - noon.  ; Additional emergency times available, but call ahead.",
3234,201905,Free Breakfast - Homestead/Rainbow Kitchen,Free Breakfast - Homestead,Homestead,"135 East 9th Avenue, PA, 15120",40.406185,-79.910525,Rainbow Kitchen,meals,All in need,None - just show up,412-464-1892,"Free breakfast - balanced, substantial hot meal served every weekday morning.",Mon - Fri; 9:30am - 10:30 am,
3235,201905,Braddock Free Store,Braddock Free Store,Braddock,"420 Braddock Avenue, PA, 15104",40.404508,-79.870985,Braddock Free Store,pantries-supplies,All in need,None - no documentation required,201-532-1722,"Clothes, household items, some toiletries, baby clothing, formula and diapers - as available.  No furniture or electronics.",Tue: 11am - 1pm; Thu: 11am - 1pm; Sat: 10am - noon,
3236,201905,Forbes Family Medicine Clinic,Forbes Family Medicine Clinic,Monroeville,"500 Mosside Blvd., Suite 500, PA, 15146",40.427214,-79.752444,Forbes Family Medicine Residency Program,health,All in need - people without insurance are welcome.  Also takes all insurance plans.,Call for appointment,412-457-1100,"Family-practice oriented - all ages.  Physicians available with specialized training for LGBTW, HIV/AIDS and Transgender.  MUST CALL AHEAD FOR AN APPPOINTMENT.",Mon: 8am - 7pm; Tue: 8am - 11am; Wed - Thu: 8am - 7pm; Fri: 8am - 4:30pm; Closed weekends,
3237,201905,"Sheep, Inc. Medical Clinic - Monroeville","Sheep, Inc. Medical Clinic/Monroeville",Monroeville,"4561 Old William Penn Highway, PA, 15146",40.442658,-79.753954,Monroeville Assembly of God,health,For those without medical insurance (all ages),Must be uninsured,412-310-0062,"Free walk-in clinic - must be UNINSURED.  Has doctors, physician assistants and nurses.  Limited pharmacy services.",Thu 5:45pm - 8:30pm,
3238,201905,"Sheep, Inc. Medical Clinic - Turtle Creek","Sheep, Inc. Medical Clinic - Turtle Creek",Turtle Creek,"305 McMasters Avenue, PA, 15145",40.406987,-79.828102,Monroeville Assembly of God,health,For those without medical insurance (all ages),Must be uninsured,412-310-0062,"First Saturday of the month ONLY.  Free walk in clinic - must be UNINSURED.  Has doctors, physician assistants and nurses. Limited pharmacy services.",ONLY FIRST SATURDAY OF THE MONTH ; 3pm - 5:30pm,
3239,201905,Lost and Found Pharmacy (Free Prescription Medications),Free Prescriptions,Penn Hills,"11555 Franstown Road, PA, 15235",40.464978,-79.829819,Lost and Found Pharmacy,health,All in need - call ahead for availability of medication,none,412-243-1369,Non-profit pharmacy.  Generic prescriptions distributed as funding allows.  Call ahead for availability of medication.,Mon - Sat; 8am - 6pm,
3240,201905,Cloverleaf Area Food Pantry,Cloverleaf Area Food Pantry,Baldwin,"1 Grove Place, PA, 15236",40.344612,-79.970726,Cloverleaf Area Ecumenical Assistance Program,pantries-supplies,"Residents within 2 miles of site - Pleasant Hills, Baldwin, Jefferson Boro, South Park, West Mifflin, Whitehall",For emergency - ID with address within two miles of cloverleaf.  Regular food bank requires proof of address and income.,412-207-1657 (Teléfono para el servicio),"Emergency Food for residents of Pleasant Hills, Baldwin, Jefferson Boro, South Park, West Mifflin, Whitehall",Tuesdays ; 9am - noon,
3241,201905,Focus - lunch and dinner,Focus Pittsburgh,Hill District,"2228 Centre Avenue, PA, 15219",40.445174,-79.97496,Focus Pittsburgh,meals,all in need,none,412-261-1234,"Free Bag Lunches for all every Saturday, starting at 11 a.m. Hot meal Wednesday at 4:30pm, Pizza Friday at 11am.","Hot meal, Wed: 4:30pm ; Pizza, Fri: 11:00am; Bag lunches, Sat: 11:00am - until they run out",
3242,201905,Focus - Emergency Food Pantry,Focus Pittsburgh,Hill District,"2228 Centre Avenue, PA, 15219",40.445174,-79.97496,Focus Pittsburgh,pantries-supplies,All in need,No paperwork or ID requirements; call ahead to ensure availability of food.,412-261-1234,"Free pantry items available to those in need during regular Focus hours. Occasionally toiletries, paper products, or diapers are also available.","Mon - Fri: 9:30am - noon, 1 - 4pm; Sat: 11am - 1pm",
3243,201905,Focus - Clothing Pantry,Focus Pittsburgh,Hill District,"2228 Centre Avenue, PA, 15219",40.445174,-79.97496,Focus Pittsburgh,pantries-supplies,All,None,412-261-1234,"Enter door on right, front of building","Mon - Fri: 9:30am-noon, 1-4pm; Sat: 11am - 1pm",
3244,201905,Focus - Medical/Behavioral Health Clinic,Focus Pittsburgh,Hill District,"2228 Centre Avenue, PA, 15219",40.445174,-79.97496,Focus Pittsburgh,health,People of all ages who do not qualify for Medicaid or are uninsured.  They will assist with Medicaid paperwork if patients are not sure.,CALL FOR APPOINTMENT:  For people who do not qualify for Medicaid or are uninsured.  They will assist with Medicaid paperwork if patients are not sure.,412-502-5024,"By appointment ONLY.  Volunteer doctors for general medicine, OB/GYN, psychiatrists, psychologists, dentists.",By appointment ONLY.  Call ahead for availability,
3245,201905,Food Pantry - Grace United Church of Christ,Food Pantry - Grace United Church of Christ,Duquesne,"100 South 7th Street, PA, 15110",40.370516,-79.851898,Grace United Church of Christ,meals-foodpantries,All in need,"Call first - either Rev. Condron or Marsha Miller, Food Bank Director",412-466-1635,"No more than once/month.  Regular pantry requires proof of income. Prepacked bags, not self-service.",Mon and Fri; 9am - noon ; Emergency by appointment,
3246,201905,Library - McKeesport,Carnegie Library of McKeesport,McKeesport,"1507 Library Street, PA, 15132",40.344993,-79.855283,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-215-0641,Library,Mon - Wed 8:00am - 8:00pm; Thu and Fri 8:00am - 6:30pm; Sat 9:00am - 1:00pm; Closed Sunday,
3247,201905,Library - Wilkinsburg,Wilkinsburg Public Library,Wilkinsburg,"605 Ross Avenue, PA, 15221",40.443206,-79.885941,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-244-2940,Library,"Mon, Wed 10:00am - 8:00pm; Tue, Thu 10:00am - 6:00pm; Fri, Sat 10:00am - 5:00pm",
3248,201905,Library - Whitehall,Whitehall Public Library,Whitehall,"100 Borough Park Drive, PA, 15236",40.350734,-79.979956,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-882-6622,Library,Mon - Thur 9:00am - 9:00pm; Fri 1:00pm - 5:00pm; Sat 9:00am - 5:00pm; Sun noon - 4:00pm,
3249,201905,Library - Oakdale,Western Allegheny Community Library,Oakdale,"181 Bateman Rd., PA, 15071",40.436685,-80.233636,Allegheny County Library Association (ACLA),roof-daytime,All,None,724-695-8150,Library,"Mon - Thu 9:00am - 8:00pm ; Fri, Sat 9:00am - 2:00pm; Sun 1:00pm - 5:00pm",Closed during date: 2017/11/16; Closed during date: 2017/11/17; Hours changed on date: 2017/11/18. Hours are: 12:00 am-1:000 pm; 
3250,201905,Library - Swissvale,Carnegie Free Library of Swissvale,Swissvale,"1800 Monongahela St., PA, 15218",40.422597,-79.891003,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-731-2300,Up steps to front door,"Mon, Tue, Thu 10:00am - 8:00pm; Wed, Fri 10:00am - 4:00pm; Sat 9:00am - 4:00pm",
3251,201905,Library - Sto-Rox,F.O.R Sto-Rox Library,McKees Rocks,"420 Chartiers Avenue, PA, 15136",40.464862,-80.058749,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-771-1222,Library,Mon - Thur 10am - 8pm ; Fri - Sat 10:00am - 5:00pm ; Closed Sun,
3252,201905,Library - Springdale,Springdale Free Public Library,Springdale,"331 School Street, PA, 15144",40.542301,-79.778172,Allegheny County Library Association (ACLA),roof-daytime,All,None,724-274-9729,Library,"Mon, Wed, Thu noon - 8:00pm; Tue, Fri 10:00am - 5:00pm; Sat 9:00am - 4:00pm ; Closed Sunday",
3253,201905,Library - Sewickley,Sewickley Public Library,Sewickley,"500 Thorn Street, PA, 15143",40.538848,-80.181215,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-741-6920,Library,Mon - Thu 9:00am - 9:00pm ; Fri 9:00am - 6:00pm; Sat 9:00am - 5:00pm ; Sun 1:00pm - 4:00pm,
3254,201905,Library - Scott Township,Scott Township Public Library,Scott Township,"301 Lindsay Road, PA, 15106",40.386726,-80.084195,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-429-5380,Library,"Mon, Tue 10:00am - 8:00pm ; Wed, Thu noon - 8:00pm ; Fri noon - 5:00pm; Sat 10:00am - 2:00pm; Closed Sunday",
3255,201905,Library - Pleasant Hills,Pleasant  Hills Public Library,Pleasant Hills,"302 Old Clairton Road, PA, 15236",40.333871,-79.961815,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-655-2424,Library,Mon - Fri 10:00am - 8:30pm ; Sat 10:00am - 2:00pm; Sun noon - 3:00pm,
3256,201905,Library - Oakmont,Oakmont Carnegie Library,Oakmont,"700 Allegheny River Boulevard, PA, 15139",40.521862,-79.841745,Allegheny County Library Association (ACLA),roof-daytime,All,None,,Library,"Mon, Thu 10:00am - 8:00pm ; Tue, Wed 10:00am - 6:00pm; Fri noon - 4:00pm; Sat 9:00am - 4:00pm; Closed Sunday",
3257,201905,Library - Northland (North Hills),Northland Public Library,North Hills,"300 Cumberland Rd., PA, 15237",40.570905,-80.034981,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-366-8100,Library,Mon - Thu 9:00am - 9:00pm ; Fri 9:00am - 6:00pm ; Sat 9:00am - 5:00pm ; Sun 1:00pm - 5:00pm,
3258,201905,Library - North Versailles,North Versailles Public Library,North Versailles,"1401 Greensburg Highway, PA, 15137",40.381314,-79.818069,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-823-2222,Library,"Mon, Wed, Fri 10:00am - 5:00pm ; Tue, Thu 11:00am - 8:00pm ; Sat 10:00am - 4:00pm; Closed Sunday",
3259,201905,Library - Andrew Bayne (Bellevue),Andrew Bayne Memorial Library,Bellvue,"34 North Balph Avenue, PA, 15202",40.49643,-80.05417,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-766-7447,Library,"Mon, Wed 10:00am - 8:00pm ; Tue, Thu 10:00am - 6:00pm ; Fri, Sat 10:00 - 5:00pm ; Closed Sunday",
3260,201905,Library - Avalon,Avalon Public Library,Avalon,"317 S. Home Avenue, PA, 15202",40.497157,-80.062521,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-761-2288,Library,"Mon, Wed 10:00am - 6:00pm; Tue, Thu noon - 8:00pm; Fri 10:00am - 5:00pm ; Sat 9:00am - 4:00pm ; Closed Sunday",
3261,201905,Library - Bethel Park,Bethel Park Public Library,Bethel Park,"5100 West Library Avenue, PA, 15102",40.332895,-80.031238,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-835-2207,Library,"Mon - Thu 9:00am - 9:00pm ; Fri, Sat 9:00am - 5:00pm ; Closed Sunday",
3262,201905,Library - Braddock,Braddock Carnegie Library,Braddock,"419 Library St., PA, 15104",40.401653,-79.865256,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-351-5356,Library,"Mon, Fri 10:00am - 5:00pm ; Tue, Wed, Thu 11:00am - 8:00pm ; Sat 9:00am - 4:00pm ; Closed Sunday",
3263,201905,Library - Brentwood,Brentwood Library,Brentwood,"3501 Brownsville Road, PA, 15227",40.375156,-79.975002,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-882-5694,Library,Mon - Thu 10:00am - 8:30pm ; Fri 1:00pm - 5:00pm ; Sat 10:00am - 3:00pm ; Sun noon - 4:00pm,
3264,201905,Library - Carnegie,Andrew Carnegie Free Library,Carnegie,"300 Beechwood Avenue, PA, 15106",40.406815,-80.085442,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-276-3456,Library,Mon 2:00pm - 7:00pm; Tue - Thu 10:00am - 7:00pm; Fri 10:00am - 5:00pm; Sat 11:00am - 3:00pm,
3265,201905,Library - Natrona Heights,Community Library of Allegheny Valley (CLAV) - Natrona Heights,Natrona Heights,"1522 Broadview Blvd., PA, 15065",40.620786,-79.72855,Allegheny County Library Association (ACLA),roof-daytime,All,None,724-226-3491,Library,Mon - Thu 11:30am - 8:30pm; Fri 10:00am - 2:00pm; Sat 9:00am - 4:00pm; Closed Sunday,
3266,201905,Library - Tarentum,Community Library of Allegheny Valley (CLAV) - Tarentum,Tarentum,"400 Lock Street, PA, 15084",40.601588,-79.753884,Allegheny County Library Association (ACLA),roof-daytime,All,None,724-226-0770,Library,Mon - Wed 10:00am - 6:00pm ; Fri 10:00am - 4:00pm ; Sat 10:00am -2:00pm ; Closed Thursday and Sunday,
3267,201905,Library - Edgewood,C.C. Mellor Memorial Library - Edgewood,Edgewood,"1 Pennwood Drive, PA, 15218",40.432042,-79.885025,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-731-0909,Library,Mon - Thu 10:00am - 8:00pm ; Fri 10:00am - 5:00pm; Sat 9:00am - 4:00pm ; Closed Sunday,
3268,201905,Library - Fox Chapel,Cooper-Siegel Community Library,Fox Chapel,"403 Fox Chapel Road, PA, 15238",40.515225,-79.879587,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-828-9520,Library,"Mon, Wed, Thu 10:00am - 8:00pm ; Tues, Fri, Sat 10:00am - 5:00pm ; Closed Sunday",
3269,201905,Library - Crafton,Crafton Public Library,Crafton,"140 Bradford Avenue, PA, 15205",40.434286,-80.067014,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-922-6877,Library,"Mon 9:00am - 5:00pm ; Tues, Wed, Thu noon - 8:00pm ; Fri 9:00am - 5:00pm ; Sat 9:00am - 4:00pm ; Closed Sunday",
3270,201905,Library - Castle Shannon,Community Library of Castle Shannon,Castle Shannon,"3677 Myrtle Avenue, PA, 15234",40.367907,-80.022371,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-563-4552,Library,"Mon, Wed 1:00pm - 9:00pm ; Tues, Thu 10:00am - 9:00pm; Fri 1:00pm - 5:00pm ; Sat 10:00am - 5:00pm ; Closed Sunday",
3271,201905,Library - Dormont,Dormont Public Library,Dormont,"2950 West Liberty Avenue, PA, 15216",40.394103,-80.03587,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-531-8754,Library,"Mon - Thu 9:00am - 9:00pm; Fri, Sat 9:00am - 5:00pm; Closed Sunday",
3272,201905,Library - Jefferson Hills,Jefferson Hills Public Library,Jefferson Hills,"925 Old Clairton Rd., PA, 15025",40.297325,-79.929553,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-655-7741,Library,Mon - Thu 10:00am - 8:30pm ; Sat 10:00am - 3:00pm ; Sun 1:00pm - 4:00pm ; Closed Friday,
3273,201905,Library - Millvale,Millvale Community Library,Millvale,"213 Grant Avenue, PA, 15209",40.47896,-79.971507,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-822-7081,Library,"Tue noon -8:00pm ; Wed, Thu 10:00am - 6:00pm ; Fri 10:00am - 2:00pm ; Sat 10:00am - 5:00pm ; Closed Sunday and Monday",
3274,201905,Library - Monroeville,Monroeville Public Library,Monroeville,"4000 Gateway Campus Blvd., PA, 15146",40.429161,-79.754765,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-372-0500,Library,"Mon - Thu 9:00am - 9:00pm ; Fri, Sat 9:00am - 5:00pm ; Sun noon - 3:00pm",
3275,201905,Library - Mt. Lebanon,Mt. Lebanon Public Library,Mount Lebanon,"16 Castle Shannon Blvd., PA, 15228",40.377266,-80.045408,Allegheny County Library Association (ACLA),roof-daytime,All,None,412-531-1912,Library,"Mon Thu 9:00am - 9:00pm ; Fri, Sat 9:00am - 5:00pm ; Sun 1:00pm - 5:00pm",
3276,201905,Loaves and Fishes Food Pantry,Loaves and Fishes Food Pantry (NHCO),McCandless,"1975 Ferguson Road, PA, 15101",40.56375,-79.9888,North Hills Community Outreach,meals-foodpantries,All in need,Emergency food one time only. Must call ahead.,412-487-6316,"Must call ahead. Emergency pantry items will be provided one time only (for regular pantry, you must meet income and zip code requirements - 150% of Federal Poverty Guidelines). Serves Hampton, McCandless, Ross, Lower Richland and Upper Shaler.",Mon - Fri: 9am - 4pm are main hours.,
3277,201905,North Boroughs Food Pantry,North Boroughs Food Pantry,Bellevue,"100 South Jackson Ave., 2nd Floor, PA, 15202",40.495473,-80.060197,North Hills Community Outreach,pantries-supplies,All in need,Emergency food one time only. Must call ahead.,412-487-6316,"Emergency pantry items will be provided one time only (for regular pantry, you must meet income and zip code requirements - 150% of Federal Poverty Guidelines). Serves area code 15202.",Mon - Fri: 9am - 4pm are main hours.,
3278,201905,9th Street Clinic (Thursdays),9th Street Clinic,McKeesport,"410 Ninth Street, PA, 15132",40.347197,-79.862446,UPMC - Ninth Street Clinic,health,Adults 19-65,For the uninsured (they will check to see if prospective patients are qualified for medical assistance).,412-664-4304,"A walk-in primary care clinic for uninsured adults. First come, first served - new patients need to be checked in by 6 p.m.  HIV testing and councilor available on-site.",Thu: 1pm - 7pm,
3279,201905,Roots of Faith Community Dinner,Roots of Faith Community Dinner,Sharpsburg,"800 Main Street, PA, 15215",40.494596,-79.934345,Roots of Faith/Faith United Methodist Church,meals,All are welcome,This is a sit down dinner with a program - not a soup kitchen,412-799-0111,"Sit down dinner first 3 Thursdays of every month at 6:00pm.  First Thursday is a neighborhood table for socializing, the second Thursday is a legal clinic with attorneys from Dickey McCamey & Chilcote, PC, the third has medical staff from UPMC is a free health clinic for primary care help - screenings, flu shots.",The first three Thursdays of every month at 6:00pm.,
